seed,file,name_presence,location_presence,rating_presence,price_presence,duration_presence,all5_presence
43,tourist_html/viator-0003.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1237.html,100,100,100,100,100,100
43,tourist_html/traveloka-0539.html,100,100,100,100,100,100
43,tourist_html/klook-0975.html,100,100,0,100,100,0
43,tourist_html/traveloka-0470.html,100,100,100,100,0,0
43,tourist_html/viator-1033.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1913.html,100,100,100,100,100,100
43,tourist_html/tourradar-1382.html,100,0,100,100,100,0
43,tourist_html/viator-1459.html,100,100,100,100,100,100
43,tourist_html/klook-0129.html,100,100,100,100,100,100
43,tourist_html/traveloka-0239.html,100,100,100,100,100,100
43,tourist_html/klook-1758.html,100,100,100,100,100,100
43,tourist_html/klook-1042.html,100,100,100,100,100,100
43,tourist_html/traveloka-1423.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1034.html,100,100,100,100,100,100
43,tourist_html/viator-1907.html,100,100,100,100,100,100
43,tourist_html/viator-0977.html,100,100,100,100,100,100
43,tourist_html/viator-0436.html,100,100,100,100,100,100
43,tourist_html/tourradar-1558.html,100,0,100,100,100,0
43,tourist_html/klook-1782.html,100,100,0,100,100,0
43,tourist_html/tourradar-1427.html,100,0,100,100,100,0
43,tourist_html/getyourguide-0407.html,100,100,100,100,100,100
43,tourist_html/viator-1908.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0968.html,100,100,100,100,0,0
43,tourist_html/viator-1161.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0473.html,100,100,100,100,0,0
43,tourist_html/traveloka-0821.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0003.html,100,100,100,100,100,100
43,tourist_html/traveloka-0284.html,100,100,100,100,100,100
43,tourist_html/klook-0996.html,100,100,0,100,100,0
43,tourist_html/viator-0342.html,100,100,100,100,100,100
43,tourist_html/tourradar-1977.html,100,0,100,100,100,0
43,tourist_html/traveloka-1590.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1312.html,100,100,100,100,100,100
43,tourist_html/klook-2003.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1565.html,100,100,100,100,100,100
43,tourist_html/klook-0577.html,100,0,100,100,100,0
43,tourist_html/getyourguide-1465.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0383.html,100,100,100,100,100,100
43,tourist_html/klook-1526.html,100,0,0,100,100,0
43,tourist_html/tourradar-0691.html,100,0,100,100,100,0
43,tourist_html/tourradar-0041.html,100,0,100,100,100,0
43,tourist_html/traveloka-0211.html,100,100,100,100,100,100
43,tourist_html/viator-0567.html,100,100,100,100,100,100
43,tourist_html/viator-0271.html,100,100,100,100,100,100
43,tourist_html/klook-0410.html,100,100,100,100,100,100
43,tourist_html/traveloka-0382.html,100,100,100,100,100,100
43,tourist_html/viator-1247.html,100,100,100,100,100,100
43,tourist_html/viator-1589.html,100,100,100,100,100,100
