seed,file,name_presence,price_presence,material_presence,color_presence,size_presence,all5_presence
43,fashion_html/flannels-1922.html,100,100,0,100,100,0
43,fashion_html/zara-1995.html,100,100,100,100,100,100
43,fashion_html/hm-0801.html,100,100,100,100,100,100
43,fashion_html/zara-1475.html,100,100,100,100,100,100
43,fashion_html/hm-0006.html,100,100,100,100,100,100
43,fashion_html/zara-1128.html,100,100,100,100,0,0
43,fashion_html/farfetch-1512.html,100,100,100,100,100,100
43,fashion_html/farfetch-0455.html,100,100,100,0,100,0
43,fashion_html/24s-0713.html,100,100,100,100,100,100
43,fashion_html/flannels-1944.html,100,100,100,100,100,100
43,fashion_html/24s-0695.html,100,100,100,100,100,100
43,fashion_html/hm-0089.html,100,100,100,100,100,100
43,fashion_html/hm-0937.html,100,100,100,100,100,100
43,fashion_html/farfetch-0147.html,100,100,100,100,100,100
43,fashion_html/24s-1866.html,100,100,100,100,100,100
43,fashion_html/farfetch-1527.html,100,100,100,100,0,0
43,fashion_html/flannels-0221.html,100,100,100,100,100,100
43,fashion_html/zara-0639.html,100,100,100,100,0,0
43,fashion_html/flannels-0356.html,100,100,100,100,100,100
43,fashion_html/zara-1135.html,100,100,100,100,0,0
43,fashion_html/hm-0041.html,100,100,100,100,100,100
43,fashion_html/flannels-1269.html,100,100,0,100,100,0
43,fashion_html/24s-1790.html,100,100,100,100,100,100
43,fashion_html/zara-2072.html,100,100,100,100,100,100
43,fashion_html/24s-0084.html,100,100,0,100,100,0
43,fashion_html/farfetch-1880.html,100,100,100,100,100,100
43,fashion_html/zara-1841.html,100,100,100,100,0,0
43,fashion_html/farfetch-1283.html,100,100,100,100,100,100
43,fashion_html/flannels-1669.html,100,100,100,100,100,100
43,fashion_html/farfetch-1750.html,100,100,100,100,100,100
43,fashion_html/zara-0317.html,100,100,100,100,0,0
43,fashion_html/zara-0564.html,100,100,100,100,0,0
43,fashion_html/zara-1014.html,100,100,100,100,100,100
43,fashion_html/hm-0231.html,100,100,100,100,100,100
43,fashion_html/zara-0757.html,100,100,100,100,100,100
43,fashion_html/flannels-0405.html,100,100,100,100,100,100
43,fashion_html/flannels-0639.html,100,100,100,100,100,100
43,fashion_html/24s-1409.html,100,100,100,100,100,100
43,fashion_html/farfetch-0089.html,100,100,100,100,100,100
43,fashion_html/flannels-1037.html,100,100,100,100,100,100
43,fashion_html/hm-0995.html,100,100,100,100,100,100
43,fashion_html/24s-1895.html,100,100,100,100,100,100
43,fashion_html/zara-0208.html,100,100,100,100,100,100
43,fashion_html/farfetch-2052.html,100,100,100,100,100,100
43,fashion_html/zara-1001.html,100,100,100,100,0,0
43,fashion_html/zara-0888.html,100,100,100,100,0,0
43,fashion_html/zara-0285.html,100,100,100,100,100,100
43,fashion_html/farfetch-2117.html,100,100,100,100,100,100
43,fashion_html/hm-1162.html,100,100,0,100,0,0
43,fashion_html/zara-0904.html,100,100,100,100,100,100
43,fashion_html/24s-1263.html,100,100,100,100,100,100
43,fashion_html/flannels-1695.html,100,100,0,100,100,0
43,fashion_html/flannels-1125.html,100,100,0,100,100,0
43,fashion_html/flannels-1144.html,100,100,0,100,100,0
43,fashion_html/24s-1607.html,100,100,100,100,100,100
43,fashion_html/farfetch-1966.html,100,100,100,100,100,100
43,fashion_html/farfetch-1663.html,100,100,100,100,0,0
43,fashion_html/zara-1888.html,100,100,100,100,100,100
43,fashion_html/24s-2187.html,100,100,100,100,100,100
43,fashion_html/zara-0263.html,100,100,100,100,0,0
43,fashion_html/hm-0251.html,100,100,100,100,100,100
43,fashion_html/zara-1808.html,100,100,100,100,0,0
43,fashion_html/farfetch-0253.html,100,100,100,100,100,100
43,fashion_html/hm-0326.html,100,0,100,100,100,0
43,fashion_html/zara-0171.html,100,100,100,100,100,100
43,fashion_html/flannels-0932.html,100,100,0,100,100,0
43,fashion_html/zara-0546.html,100,100,100,100,0,0
43,fashion_html/flannels-2039.html,100,100,0,100,100,0
43,fashion_html/zara-1827.html,100,100,100,100,0,0
43,fashion_html/hm-1696.html,100,100,100,100,0,0
43,fashion_html/hm-0393.html,100,100,100,100,100,100
43,fashion_html/zara-0941.html,100,100,100,100,100,100
43,fashion_html/flannels-1372.html,100,100,100,100,100,100
43,fashion_html/farfetch-1539.html,100,100,100,100,100,100
43,fashion_html/24s-1006.html,100,100,100,100,100,100
43,fashion_html/farfetch-2120.html,100,100,100,100,100,100
43,fashion_html/hm-1332.html,100,100,0,100,0,0
43,fashion_html/24s-1721.html,100,100,100,100,100,100
43,fashion_html/24s-0063.html,100,100,100,100,100,100
43,fashion_html/hm-1662.html,100,100,100,100,0,0
43,fashion_html/flannels-2077.html,100,100,100,100,100,100
43,fashion_html/zara-1039.html,100,100,100,100,100,100
43,fashion_html/flannels-1311.html,100,100,0,100,100,0
43,fashion_html/zara-0025.html,100,100,100,100,0,0
43,fashion_html/flannels-0114.html,100,100,100,100,100,100
43,fashion_html/hm-1513.html,100,100,100,100,100,100
43,fashion_html/24s-0765.html,100,100,100,100,100,100
43,fashion_html/hm-1577.html,100,100,100,100,100,100
43,fashion_html/hm-0629.html,100,0,100,100,0,0
43,fashion_html/zara-1213.html,100,100,100,100,100,100
43,fashion_html/hm-0207.html,100,100,100,100,100,100
43,fashion_html/24s-2318.html,100,100,100,100,100,100
43,fashion_html/24s-0257.html,100,100,100,100,100,100
43,fashion_html/farfetch-1810.html,100,100,100,100,0,0
43,fashion_html/24s-1702.html,100,100,100,100,100,100
43,fashion_html/hm-1935.html,100,100,0,100,0,0
43,fashion_html/zara-1053.html,100,100,100,100,0,0
43,fashion_html/flannels-2086.html,100,100,0,100,100,0
43,fashion_html/flannels-0296.html,100,100,0,100,100,0
43,fashion_html/flannels-2122.html,100,100,100,100,100,100
43,fashion_html/hm-0015.html,100,100,100,100,100,100
43,fashion_html/flannels-2038.html,100,100,0,100,100,0
43,fashion_html/flannels-1000.html,100,100,0,100,100,0
43,fashion_html/zara-1604.html,100,100,100,100,100,100
43,fashion_html/hm-0315.html,100,100,100,100,0,0
43,fashion_html/24s-1527.html,100,100,100,100,100,100
43,fashion_html/zara-0280.html,100,100,100,100,0,0
43,fashion_html/zara-0532.html,100,100,100,100,0,0
43,fashion_html/zara-0313.html,100,100,100,100,100,100
43,fashion_html/hm-1310.html,100,100,0,100,0,0
43,fashion_html/flannels-2232.html,100,100,0,100,100,0
43,fashion_html/flannels-1485.html,100,100,100,100,100,100
