seed,file,name_presence,price_presence,material_presence,color_presence,size_presence,all5_presence
44,fashion_html/24s-1208.html,100,100,100,100,100,100
44,fashion_html/24s-1131.html,100,100,100,100,100,100
44,fashion_html/farfetch-1742.html,100,100,100,100,100,100
44,fashion_html/flannels-1988.html,100,100,100,100,100,100
44,fashion_html/zara-0409.html,100,100,100,100,100,100
44,fashion_html/flannels-1194.html,100,100,100,100,100,100
44,fashion_html/24s-1000.html,100,100,100,100,100,100
44,fashion_html/zara-0070.html,100,100,100,100,0,0
44,fashion_html/flannels-1319.html,100,100,100,100,100,100
44,fashion_html/farfetch-1009.html,100,100,100,0,100,0
44,fashion_html/farfetch-1591.html,100,100,100,100,100,100
44,fashion_html/farfetch-1328.html,100,100,100,100,100,100
44,fashion_html/hm-1523.html,100,100,100,100,100,100
44,fashion_html/zara-1585.html,100,100,100,100,100,100
44,fashion_html/hm-0992.html,100,100,100,100,100,100
44,fashion_html/flannels-2188.html,100,100,0,100,100,0
44,fashion_html/24s-1962.html,100,100,100,100,100,100
44,fashion_html/hm-0538.html,100,100,100,100,100,100
44,fashion_html/flannels-0933.html,100,100,0,100,100,0
44,fashion_html/farfetch-0421.html,100,100,100,100,100,100
44,fashion_html/flannels-1778.html,100,100,0,100,100,0
44,fashion_html/farfetch-1992.html,100,100,100,100,100,100
44,fashion_html/24s-0990.html,100,100,100,100,100,100
44,fashion_html/flannels-0683.html,100,100,0,100,100,0
44,fashion_html/flannels-2080.html,100,100,0,100,100,0
44,fashion_html/24s-1827.html,100,100,100,100,100,100
44,fashion_html/flannels-1001.html,100,100,0,100,100,0
44,fashion_html/flannels-0330.html,100,100,100,100,100,100
44,fashion_html/24s-0490.html,100,100,100,100,100,100
44,fashion_html/24s-2079.html,100,100,100,100,100,100
44,fashion_html/zara-2052.html,100,100,100,100,0,0
44,fashion_html/farfetch-0687.html,100,100,100,100,100,100
44,fashion_html/flannels-0840.html,100,100,0,100,100,0
44,fashion_html/24s-0643.html,100,100,100,100,100,100
44,fashion_html/flannels-0250.html,100,100,100,100,100,100
44,fashion_html/zara-0362.html,100,100,100,100,100,100
