seed,file,name_presence,price_presence,material_presence,color_presence,size_presence,all5_presence
42,fashion_html/flannels-0639.html,100,100,100,100,100,100
42,fashion_html/farfetch-0168.html,100,100,100,100,100,100
42,fashion_html/24s-1701.html,100,100,100,100,100,100
42,fashion_html/flannels-0468.html,100,100,100,100,100,100
42,fashion_html/24s-1348.html,100,100,100,100,100,100
42,fashion_html/farfetch-0248.html,100,100,100,100,100,100
42,fashion_html/farfetch-1159.html,100,100,100,100,0,0
42,fashion_html/24s-0047.html,100,100,100,100,100,100
42,fashion_html/hm-1358.html,100,100,100,100,100,100
42,fashion_html/24s-2233.html,100,100,100,100,100,100
42,fashion_html/24s-1236.html,100,100,100,100,100,100
42,fashion_html/hm-1334.html,100,100,0,100,0,0
42,fashion_html/flannels-0135.html,100,100,100,100,100,100
42,fashion_html/zara-1834.html,100,100,100,100,0,0
42,fashion_html/flannels-2118.html,100,100,100,100,100,100
42,fashion_html/hm-0375.html,100,0,100,100,100,0
42,fashion_html/24s-2012.html,100,100,100,100,100,100
42,fashion_html/24s-2074.html,100,100,100,100,100,100
42,fashion_html/flannels-2108.html,100,100,100,100,100,100
42,fashion_html/24s-2276.html,100,100,100,100,100,100
42,fashion_html/zara-0133.html,100,100,100,100,0,0
42,fashion_html/flannels-0231.html,100,100,0,100,100,0
42,fashion_html/hm-1139.html,100,100,100,100,0,0
42,fashion_html/flannels-0180.html,100,100,0,100,100,0
42,fashion_html/hm-1922.html,100,100,0,100,0,0
42,fashion_html/zara-0843.html,100,100,100,100,0,0
42,fashion_html/farfetch-1869.html,100,100,100,100,100,100
42,fashion_html/24s-1364.html,100,100,100,100,100,100
42,fashion_html/24s-0466.html,100,100,100,100,100,100
42,fashion_html/farfetch-0450.html,100,100,100,100,100,100
42,fashion_html/farfetch-0737.html,100,100,100,100,100,100
42,fashion_html/farfetch-0567.html,100,100,100,100,0,0
42,fashion_html/flannels-0088.html,100,100,100,100,100,100
42,fashion_html/hm-0742.html,100,0,100,100,0,0
42,fashion_html/hm-1415.html,100,100,100,100,100,100
42,fashion_html/hm-1499.html,100,100,100,100,100,100
42,fashion_html/zara-0770.html,100,100,100,100,0,0
42,fashion_html/farfetch-1966.html,100,100,100,100,100,100
42,fashion_html/flannels-1307.html,100,100,100,100,100,100
42,fashion_html/hm-0631.html,100,100,100,100,100,100
42,fashion_html/hm-1431.html,100,100,100,100,0,0
42,fashion_html/24s-2037.html,100,100,100,100,100,100
42,fashion_html/24s-0085.html,100,100,100,100,100,100
42,fashion_html/farfetch-0782.html,100,100,100,100,100,100
42,fashion_html/zara-0043.html,100,100,100,100,0,0
42,fashion_html/flannels-0570.html,100,100,0,100,100,0
42,fashion_html/farfetch-1150.html,100,100,100,100,100,100
42,fashion_html/farfetch-1929.html,100,100,100,100,100,100
42,fashion_html/hm-1736.html,100,100,100,100,0,0
