seed,file,name_presence,duration_presence,stops_presence,price_presence,departure_time_presence,arrival_time_presence,airline_presence,all7_presence
42,flights_html/tripadvisor-0930.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1939.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-0747.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-0570.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-0133.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1953.html,100,100,100,100,100,0,100,0
42,flights_html/gotogate-1557.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-2015.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-0882.html,0,100,100,100,100,0,100,0
42,flights_html/farecompare-1571.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-0420.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-2172.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-0036.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-1009.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-1552.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-1101.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1716.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-0891.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-0714.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1905.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1527.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1554.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-1037.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-0050.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1497.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-0832.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-0382.html,100,100,100,0,100,100,100,0
42,flights_html/tripadvisor-1840.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-0666.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-0867.html,100,100,100,100,100,0,100,0
42,flights_html/gotogate-0751.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-0572.html,100,100,100,100,100,0,100,0
42,flights_html/farecompare-0432.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-0118.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-1814.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-1952.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-1605.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-0559.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-0701.html,100,100,100,100,100,0,100,0
42,flights_html/tripadvisor-0978.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-0079.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1477.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-1390.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-1393.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-1308.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-1098.html,100,100,100,100,100,100,100,100
