seed,file,name_presence,duration_presence,stops_presence,price_presence,departure_time_presence,arrival_time_presence,airline_presence,all7_presence
44,flights_html/gotogate-1801.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-0237.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-0157.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1262.html,100,100,100,100,100,100,100,100
44,flights_html/tripadvisor-0470.html,100,100,100,100,100,100,100,100
44,flights_html/gotogate-1003.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1256.html,100,100,100,100,100,100,100,100
44,flights_html/tripadvisor-2031.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-0735.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1203.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-0647.html,100,100,100,100,100,100,100,100
44,flights_html/cheapair-0220.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1308.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-1696.html,100,100,100,100,100,100,100,100
44,flights_html/cheapair-0930.html,100,100,100,100,100,0,100,0
44,flights_html/kayak-0634.html,0,100,100,100,100,0,100,0
44,flights_html/cheapair-0350.html,100,100,100,100,100,100,100,100
44,flights_html/cheapair-0377.html,100,100,100,100,100,100,100,100
44,flights_html/cheapair-0365.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-0562.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1435.html,100,100,100,100,100,100,100,100
44,flights_html/tripadvisor-1055.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-0867.html,100,100,100,100,100,100,100,100
44,flights_html/gotogate-0986.html,100,100,100,100,100,100,100,100
44,flights_html/tripadvisor-0955.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-0250.html,100,100,100,100,100,100,100,100
44,flights_html/gotogate-2034.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-0921.html,100,100,100,100,100,100,100,100
44,flights_html/gotogate-1405.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-0489.html,100,100,100,100,100,100,100,100
44,flights_html/tripadvisor-0658.html,100,100,100,100,100,100,100,100
44,flights_html/tripadvisor-0017.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1135.html,100,100,100,100,100,100,100,100
44,flights_html/gotogate-1049.html,100,100,100,100,100,100,100,100
44,flights_html/cheapair-1338.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1105.html,100,100,100,100,100,100,100,100
44,flights_html/gotogate-0698.html,100,100,100,100,100,100,100,100
44,flights_html/gotogate-2225.html,100,100,100,100,100,100,100,100
44,flights_html/cheapair-1270.html,100,100,100,100,100,0,100,0
44,flights_html/tripadvisor-0802.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-0156.html,0,100,100,100,100,0,100,0
44,flights_html/kayak-0022.html,0,100,100,100,100,0,100,0
44,flights_html/gotogate-1328.html,100,100,100,100,100,100,100,100
44,flights_html/cheapair-0576.html,100,100,100,100,100,100,100,100
44,flights_html/tripadvisor-0827.html,100,100,100,100,100,100,100,100
44,flights_html/tripadvisor-1413.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-0547.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-0129.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1195.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-1587.html,0,100,100,100,100,100,100,0
44,flights_html/farecompare-0674.html,100,100,100,100,100,100,100,100
44,flights_html/gotogate-1064.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1229.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1231.html,100,100,100,100,100,100,100,100
44,flights_html/gotogate-1033.html,100,100,100,100,100,100,100,100
44,flights_html/tripadvisor-0933.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1847.html,100,100,100,100,100,100,100,100
44,flights_html/gotogate-1863.html,100,100,100,100,100,100,100,100
44,flights_html/tripadvisor-0682.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-1148.html,100,100,100,100,100,100,100,100
44,flights_html/gotogate-0828.html,100,100,100,100,100,100,100,100
44,flights_html/cheapair-0520.html,100,100,100,100,100,100,100,100
44,flights_html/gotogate-1390.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-1721.html,100,100,100,100,100,100,100,100
44,flights_html/tripadvisor-0166.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-0694.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1583.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-1144.html,100,100,100,100,100,100,100,100
44,flights_html/cheapair-0827.html,100,100,100,100,100,100,100,100
44,flights_html/cheapair-0566.html,100,100,100,100,100,100,100,100
44,flights_html/cheapair-0020.html,100,100,100,100,100,100,100,100
44,flights_html/gotogate-1701.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-0055.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-0963.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-0358.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1004.html,100,100,100,100,100,100,100,100
44,flights_html/tripadvisor-1632.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1810.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1396.html,100,100,100,100,100,100,100,100
44,flights_html/gotogate-1635.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-2177.html,100,100,100,100,100,100,100,100
44,flights_html/gotogate-1661.html,100,100,100,100,100,100,100,100
44,flights_html/tripadvisor-0147.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-2400.html,100,100,100,100,100,100,100,100
44,flights_html/gotogate-0284.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-1246.html,0,100,100,100,100,0,100,0
44,flights_html/kayak-1970.html,0,100,100,100,100,0,100,0
44,flights_html/kayak-0563.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1235.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-0879.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1763.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-2019.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-0942.html,0,100,100,100,100,0,100,0
44,flights_html/tripadvisor-1608.html,100,100,100,100,100,100,100,100
44,flights_html/tripadvisor-1897.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1405.html,100,100,100,100,100,100,100,100
44,flights_html/tripadvisor-1603.html,100,100,100,100,100,100,100,100
44,flights_html/cheapair-1770.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-0449.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-1329.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1025.html,100,100,100,100,100,100,100,100
44,flights_html/cheapair-1208.html,100,100,100,100,100,100,100,100
44,flights_html/farecompare-1707.html,100,100,100,100,100,100,100,100
44,flights_html/cheapair-0343.html,100,100,100,100,100,100,100,100
44,flights_html/cheapair-1672.html,100,100,100,100,100,0,100,0
44,flights_html/tripadvisor-1892.html,100,100,100,100,100,100,100,100
44,flights_html/kayak-0901.html,100,100,100,100,100,100,100,100
44,flights_html/cheapair-1682.html,100,100,100,100,100,0,100,0
44,flights_html/cheapair-0678.html,100,100,100,100,100,100,100,100
