seed,file,title_presence,subject_presence,fees_presence,duration_presence,instructor_presence,all5_presence
42,course_html/skillshare-0778.html,100,100,100,100,100,100
42,course_html/coursera-0056.html,100,100,0,100,100,0
42,course_html/skillshare-1395.html,100,100,100,100,100,100
42,course_html/coursera-0251.html,100,100,100,100,100,100
42,course_html/linkedin-1915.html,100,100,100,100,100,100
42,course_html/udemy-1857.html,100,100,100,100,100,100
42,course_html/edx-1879.html,100,100,0,100,100,0
42,course_html/udemy-0934.html,100,100,100,0,100,0
42,course_html/coursera-2053.html,100,100,100,100,100,100
42,course_html/linkedin-0824.html,100,100,100,100,100,100
42,course_html/linkedin-1489.html,100,100,100,100,100,100
42,course_html/coursera-1551.html,100,100,100,100,100,100
42,course_html/coursera-1255.html,100,100,0,100,100,0
42,course_html/edx-1562.html,100,100,0,100,0,0
42,course_html/coursera-1984.html,100,100,0,100,100,0
42,course_html/udemy-0440.html,100,100,100,0,100,0
42,course_html/skillshare-0530.html,100,100,100,100,100,100
42,course_html/skillshare-1164.html,100,100,100,100,100,100
42,course_html/coursera-1549.html,100,100,100,100,100,100
42,course_html/coursera-1480.html,100,100,0,100,100,0
42,course_html/edx-1973.html,100,100,0,100,100,0
42,course_html/linkedin-0594.html,100,100,100,100,100,100
42,course_html/linkedin-1676.html,100,100,100,100,100,100
42,course_html/coursera-0376.html,100,100,100,100,100,100
42,course_html/udemy-1509.html,100,0,100,0,100,0
42,course_html/coursera-1535.html,100,100,100,100,100,100
42,course_html/coursera-1939.html,100,100,0,100,100,0
42,course_html/udemy-0048.html,100,100,100,100,100,100
42,course_html/skillshare-1445.html,100,100,100,100,100,100
42,course_html/edx-1044.html,100,100,0,100,100,0
42,course_html/skillshare-0373.html,100,100,100,100,100,100
42,course_html/linkedin-0552.html,100,100,100,100,100,100
42,course_html/udemy-0683.html,100,0,100,100,100,0
42,course_html/skillshare-1081.html,100,100,100,100,100,100
42,course_html/udemy-0659.html,100,100,100,100,100,100
42,course_html/coursera-1969.html,100,100,100,100,100,100
42,course_html/skillshare-0108.html,100,100,100,100,100,100
42,course_html/coursera-0399.html,100,100,100,100,100,100
42,course_html/linkedin-0773.html,100,100,0,100,100,0
42,course_html/edx-0186.html,100,100,0,100,100,0
42,course_html/udemy-1148.html,100,100,100,100,100,100
42,course_html/udemy-1860.html,100,100,100,100,100,100
42,course_html/udemy-1477.html,100,100,100,0,100,0
42,course_html/linkedin-1092.html,100,100,100,100,100,100
42,course_html/udemy-0545.html,100,0,100,100,100,0
42,course_html/linkedin-1179.html,100,100,100,100,100,100
42,course_html/coursera-1023.html,100,100,100,100,100,100
42,course_html/skillshare-1174.html,100,100,100,100,100,100
42,course_html/edx-0096.html,100,100,0,100,100,0
42,course_html/edx-2025.html,100,100,0,100,100,0
42,course_html/linkedin-0687.html,100,100,100,100,100,100
42,course_html/udemy-0257.html,100,100,100,0,100,0
42,course_html/coursera-0988.html,100,100,100,100,100,100
42,course_html/linkedin-1542.html,100,100,100,100,100,100
42,course_html/skillshare-0958.html,100,100,100,100,100,100
42,course_html/edx-0179.html,100,100,0,100,100,0
42,course_html/skillshare-0765.html,100,100,100,100,100,100
42,course_html/skillshare-1987.html,100,100,100,100,100,100
42,course_html/skillshare-1576.html,100,100,100,100,100,100
42,course_html/udemy-0744.html,100,0,100,100,100,0
42,course_html/coursera-1171.html,100,100,100,100,100,100
42,course_html/skillshare-1927.html,100,100,100,100,100,100
42,course_html/linkedin-0341.html,100,100,100,100,100,100
42,course_html/udemy-1106.html,100,100,100,100,100,100
42,course_html/linkedin-0603.html,100,100,100,100,100,100
42,course_html/linkedin-0795.html,100,100,100,100,100,100
42,course_html/udemy-0568.html,100,0,100,100,100,0
42,course_html/skillshare-1137.html,100,100,100,100,100,100
42,course_html/skillshare-1088.html,100,100,100,100,100,100
42,course_html/skillshare-1253.html,100,100,100,100,100,100
42,course_html/udemy-0837.html,100,0,100,100,100,0
42,course_html/edx-1464.html,0,100,0,100,100,0
42,course_html/linkedin-0696.html,100,100,100,100,100,100
42,course_html/skillshare-0590.html,100,100,100,100,100,100
42,course_html/udemy-0921.html,100,0,100,100,100,0
42,course_html/coursera-1360.html,100,100,100,100,100,100
42,course_html/skillshare-0645.html,100,100,100,100,100,100
42,course_html/linkedin-0558.html,100,100,100,100,100,100
42,course_html/udemy-1895.html,100,0,100,100,100,0
42,course_html/coursera-0858.html,100,100,100,100,100,100
42,course_html/edx-1674.html,100,100,0,100,100,0
42,course_html/edx-1455.html,100,100,0,100,100,0
42,course_html/coursera-0848.html,100,100,0,100,100,0
42,course_html/edx-1640.html,100,100,0,100,100,0
42,course_html/edx-0200.html,100,100,0,100,100,0
42,course_html/coursera-1901.html,100,100,0,100,100,0
42,course_html/udemy-1473.html,100,0,100,0,100,0
42,course_html/linkedin-1732.html,100,100,100,100,100,100
42,course_html/edx-0667.html,100,100,0,100,100,0
42,course_html/edx-1010.html,100,100,0,100,100,0
42,course_html/coursera-0482.html,100,100,100,100,100,100
42,course_html/edx-0553.html,100,100,0,100,100,0
42,course_html/udemy-1199.html,100,0,100,100,100,0
42,course_html/linkedin-1215.html,100,100,100,100,100,100
42,course_html/linkedin-1059.html,100,100,100,100,100,100
42,course_html/udemy-0798.html,100,0,100,100,100,0
42,course_html/udemy-0190.html,100,100,100,0,100,0
42,course_html/coursera-1592.html,100,100,100,100,100,100
42,course_html/edx-0751.html,100,100,0,100,100,0
42,course_html/edx-0655.html,100,100,0,100,100,0
42,course_html/linkedin-1571.html,100,100,100,100,100,100
42,course_html/udemy-1711.html,100,100,100,100,100,100
42,course_html/skillshare-0739.html,100,100,100,100,100,100
42,course_html/linkedin-1272.html,100,100,100,100,100,100
42,course_html/skillshare-1882.html,100,100,100,100,100,100
42,course_html/edx-0812.html,100,100,0,100,100,0
42,course_html/udemy-1815.html,100,100,100,0,100,0
42,course_html/udemy-1071.html,100,0,100,100,100,0
42,course_html/linkedin-1370.html,100,100,100,100,100,100
42,course_html/coursera-1241.html,100,100,0,100,100,0
42,course_html/udemy-1708.html,100,0,100,100,100,0
42,course_html/edx-1463.html,100,100,0,100,100,0
42,course_html/udemy-1530.html,100,100,100,100,100,100
42,course_html/udemy-0398.html,100,0,100,100,100,0
42,course_html/udemy-1074.html,100,100,100,100,100,100
42,course_html/skillshare-1562.html,100,100,100,100,100,100
42,course_html/skillshare-0454.html,100,100,100,100,100,100
42,course_html/edx-0556.html,100,100,0,100,100,0
42,course_html/udemy-1308.html,100,100,100,100,100,100
42,course_html/coursera-0717.html,100,100,0,100,100,0
42,course_html/udemy-1589.html,100,0,0,0,100,0
42,course_html/skillshare-1410.html,100,100,100,100,100,100
42,course_html/skillshare-0080.html,100,100,100,100,100,100
42,course_html/linkedin-1038.html,100,100,100,100,100,100
42,course_html/skillshare-0064.html,100,100,100,100,100,100
42,course_html/coursera-0674.html,100,100,100,100,100,100
42,course_html/linkedin-1068.html,100,100,100,100,100,100
42,course_html/skillshare-1873.html,100,100,100,100,100,100
42,course_html/linkedin-1365.html,100,100,100,100,100,100
42,course_html/coursera-1522.html,100,100,100,100,100,100
42,course_html/udemy-1902.html,100,100,100,100,100,100
42,course_html/skillshare-1356.html,100,100,100,100,100,100
42,course_html/coursera-0703.html,100,100,100,100,100,100
42,course_html/udemy-1536.html,100,100,100,100,100,100
42,course_html/udemy-1616.html,100,100,100,100,100,100
42,course_html/edx-0100.html,100,100,0,100,100,0
42,course_html/linkedin-1252.html,100,100,100,100,100,100
42,course_html/coursera-2014.html,100,100,100,100,100,100
42,course_html/skillshare-0719.html,100,100,100,100,100,100
42,course_html/skillshare-0625.html,100,100,100,100,100,100
42,course_html/udemy-0653.html,100,0,100,0,100,0
42,course_html/edx-0264.html,100,100,0,100,100,0
42,course_html/edx-0052.html,100,100,0,100,100,0
42,course_html/edx-1699.html,100,100,0,100,100,0
42,course_html/udemy-0880.html,100,100,100,0,100,0
42,course_html/linkedin-1281.html,100,100,100,100,100,100
42,course_html/skillshare-1002.html,100,100,100,100,100,100
42,course_html/edx-1105.html,100,100,0,100,100,0
42,course_html/coursera-0538.html,100,100,0,100,100,0
42,course_html/udemy-0112.html,100,100,100,100,100,100
42,course_html/coursera-0603.html,100,100,100,100,100,100
42,course_html/skillshare-1981.html,100,100,100,100,100,100
42,course_html/coursera-0006.html,100,100,100,100,100,100
42,course_html/edx-0622.html,100,100,0,100,100,0
42,course_html/linkedin-0943.html,100,100,100,100,100,100
42,course_html/udemy-1496.html,100,100,100,100,100,100
42,course_html/skillshare-1261.html,100,100,100,100,100,100
42,course_html/skillshare-1369.html,100,100,100,100,100,100
42,course_html/edx-0933.html,100,100,0,100,100,0
42,course_html/linkedin-0320.html,100,100,100,100,100,100
42,course_html/skillshare-1937.html,100,100,100,100,100,100
42,course_html/edx-1818.html,100,100,0,100,100,0
42,course_html/edx-1410.html,100,100,0,100,100,0
42,course_html/coursera-1589.html,100,100,100,100,100,100
42,course_html/skillshare-0715.html,100,100,100,100,100,100
42,course_html/udemy-1797.html,100,100,100,100,100,100
42,course_html/linkedin-1537.html,100,100,100,100,100,100
42,course_html/edx-1616.html,100,100,0,100,100,0
42,course_html/linkedin-1694.html,100,100,100,100,100,100
42,course_html/edx-2014.html,100,100,0,100,100,0
42,course_html/coursera-0390.html,100,100,100,100,100,100
42,course_html/skillshare-0149.html,100,100,100,100,100,100
42,course_html/udemy-1278.html,100,100,100,100,100,100
42,course_html/edx-1923.html,100,100,0,100,100,0
42,course_html/skillshare-1797.html,100,100,100,100,100,100
42,course_html/coursera-1848.html,100,100,100,100,100,100
42,course_html/coursera-1114.html,100,100,100,100,100,100
42,course_html/coursera-0646.html,100,100,0,100,100,0
42,course_html/skillshare-1477.html,100,100,100,100,100,100
42,course_html/edx-0380.html,100,100,0,100,100,0
42,course_html/skillshare-1103.html,100,100,100,100,100,100
42,course_html/udemy-0872.html,100,100,100,100,100,100
42,course_html/edx-1602.html,100,100,0,100,100,0
42,course_html/udemy-1293.html,100,0,100,0,100,0
42,course_html/coursera-1395.html,100,100,0,100,100,0
42,course_html/coursera-0477.html,100,100,0,100,100,0
42,course_html/linkedin-0689.html,100,100,100,100,100,100
42,course_html/edx-1649.html,100,100,0,100,100,0
42,course_html/udemy-0169.html,100,0,100,100,100,0
42,course_html/coursera-0060.html,100,100,100,100,100,100
42,course_html/skillshare-1012.html,100,100,100,100,100,100
42,course_html/skillshare-1509.html,100,100,100,100,100,100
42,course_html/skillshare-1700.html,100,100,100,100,100,100
42,course_html/linkedin-0661.html,100,100,100,100,100,100
42,course_html/skillshare-1224.html,100,100,100,100,100,100
42,course_html/skillshare-0563.html,100,100,100,100,100,100
42,course_html/linkedin-1212.html,100,100,100,100,100,100
42,course_html/coursera-0212.html,100,100,100,100,100,100
42,course_html/linkedin-1752.html,100,100,100,100,100,100
42,course_html/edx-0311.html,100,100,0,100,100,0
42,course_html/skillshare-1215.html,100,100,100,100,100,100
42,course_html/coursera-0425.html,100,100,0,100,100,0
42,course_html/udemy-0824.html,100,0,100,100,100,0
42,course_html/coursera-0970.html,100,100,100,100,100,100
42,course_html/linkedin-1387.html,100,100,100,100,100,100
42,course_html/edx-1617.html,100,100,0,100,100,0
42,course_html/udemy-1801.html,100,0,100,100,100,0
42,course_html/coursera-0026.html,100,0,100,100,100,0
42,course_html/udemy-0673.html,100,0,100,0,100,0
42,course_html/coursera-0426.html,100,100,0,100,100,0
42,course_html/edx-1912.html,100,100,0,100,100,0
42,course_html/udemy-0079.html,100,100,100,100,100,100
42,course_html/skillshare-0877.html,100,100,100,100,100,100
42,course_html/coursera-0945.html,100,100,100,100,100,100
42,course_html/udemy-0192.html,100,100,100,100,100,100
42,course_html/coursera-1772.html,100,100,0,100,100,0
42,course_html/coursera-0731.html,100,100,100,100,100,100
42,course_html/coursera-1212.html,100,100,100,100,100,100
42,course_html/edx-0012.html,100,100,0,100,100,0
42,course_html/coursera-1860.html,100,100,100,100,100,100
42,course_html/edx-0405.html,100,100,0,100,100,0
42,course_html/coursera-0265.html,100,100,100,100,100,100
42,course_html/coursera-1419.html,100,100,100,100,100,100
42,course_html/edx-0423.html,100,100,0,100,100,0
42,course_html/linkedin-0967.html,100,100,100,100,100,100
42,course_html/edx-1903.html,100,100,0,100,100,0
42,course_html/skillshare-1883.html,100,100,100,100,100,100
42,course_html/coursera-0062.html,100,100,100,100,100,100
42,course_html/coursera-0746.html,100,100,100,100,100,100
42,course_html/linkedin-0486.html,100,100,100,100,100,100
42,course_html/coursera-0781.html,100,100,0,100,100,0
42,course_html/linkedin-1413.html,100,100,100,100,100,100
42,course_html/udemy-1258.html,100,100,100,100,100,100
42,course_html/coursera-1856.html,100,100,0,100,100,0
42,course_html/coursera-1124.html,100,100,100,100,100,100
42,course_html/udemy-0803.html,100,0,100,0,100,0
42,course_html/edx-0943.html,100,100,0,100,100,0
42,course_html/coursera-2051.html,100,100,0,100,100,0
42,course_html/coursera-1965.html,100,100,100,100,100,100
42,course_html/edx-1192.html,100,100,0,100,100,0
42,course_html/edx-1143.html,100,100,0,100,100,0
42,course_html/coursera-1186.html,100,100,100,100,100,100
42,course_html/edx-0171.html,100,100,0,100,100,0
42,course_html/skillshare-0674.html,100,100,100,100,100,100
42,course_html/coursera-0892.html,100,100,100,100,100,100
42,course_html/edx-1484.html,100,100,0,100,100,0
42,course_html/skillshare-0570.html,100,100,100,100,100,100
42,course_html/udemy-1048.html,100,0,100,100,100,0
42,course_html/coursera-0602.html,100,100,100,100,100,100
42,course_html/coursera-1069.html,100,100,100,100,100,100
42,course_html/coursera-1714.html,100,100,100,100,100,100
42,course_html/edx-0460.html,100,100,0,100,100,0
42,course_html/edx-1953.html,100,100,0,100,0,0
42,course_html/edx-0528.html,100,100,0,100,100,0
42,course_html/coursera-0228.html,100,100,100,100,100,100
42,course_html/linkedin-0207.html,100,100,100,100,100,100
42,course_html/edx-1533.html,100,100,0,100,100,0
42,course_html/linkedin-0693.html,100,100,100,100,100,100
42,course_html/edx-0050.html,100,100,0,100,100,0
42,course_html/linkedin-1170.html,100,100,100,100,100,100
42,course_html/udemy-1100.html,100,0,100,0,100,0
42,course_html/edx-0700.html,100,100,0,100,100,0
42,course_html/coursera-1654.html,100,100,0,100,100,0
42,course_html/linkedin-0492.html,100,100,100,100,100,100
42,course_html/edx-0159.html,100,100,0,100,100,0
42,course_html/linkedin-1336.html,100,100,100,100,100,100
42,course_html/coursera-1731.html,100,100,100,100,100,100
42,course_html/udemy-0784.html,100,100,100,100,100,100
42,course_html/linkedin-0137.html,100,100,100,100,100,100
42,course_html/udemy-0283.html,100,0,100,100,100,0
42,course_html/udemy-0328.html,100,0,100,100,100,0
42,course_html/coursera-1220.html,100,100,100,100,100,100
42,course_html/edx-0975.html,100,100,0,100,100,0
42,course_html/udemy-0668.html,100,0,100,100,100,0
42,course_html/skillshare-0836.html,100,100,100,100,100,100
42,course_html/coursera-1150.html,100,100,0,100,100,0
42,course_html/udemy-1570.html,100,0,100,100,100,0
42,course_html/linkedin-0506.html,100,100,100,100,100,100
42,course_html/coursera-1027.html,100,100,100,100,100,100
42,course_html/coursera-0632.html,100,100,100,100,100,100
