seed,file,name_presence,rating_presence,author_presence,time_presence,type_presence,all5_presence
42,cooking_html/allrecipes-1021.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-1064.html,100,100,100,100,100,100
42,cooking_html/nytimes-1650.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-1389.html,100,100,0,100,100,0
42,cooking_html/nytimes-1201.html,100,100,100,100,100,100
42,cooking_html/tasty-1847.html,100,0,100,0,100,0
42,cooking_html/nytimes-0702.html,100,100,100,100,100,100
42,cooking_html/tasty-1635.html,100,0,100,0,100,0
42,cooking_html/cookingclassy-0035.html,100,100,100,100,100,100
42,cooking_html/tasty-1542.html,100,100,100,0,100,0
42,cooking_html/tasty-2472.html,100,0,100,0,100,0
42,cooking_html/allrecipes-0137.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-1445.html,100,100,100,100,0,0
42,cooking_html/tasty-0802.html,100,0,100,0,100,0
42,cooking_html/tasty-1861.html,100,0,100,0,100,0
42,cooking_html/tasty-0942.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-0906.html,100,100,100,100,100,100
42,cooking_html/tasty-2070.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-1127.html,100,100,100,100,0,0
42,cooking_html/nytimes-1906.html,100,100,100,100,100,100
42,cooking_html/tasty-0318.html,100,0,100,0,100,0
42,cooking_html/tasty-1493.html,100,0,0,0,100,0
42,cooking_html/tasty-1729.html,100,0,0,0,100,0
42,cooking_html/foodnetwork-0381.html,100,100,100,100,100,100
42,cooking_html/allrecipes-0666.html,100,100,100,100,100,100
42,cooking_html/tasty-0396.html,100,0,100,0,100,0
42,cooking_html/nytimes-0663.html,100,100,100,100,100,100
42,cooking_html/tasty-0300.html,100,0,100,0,100,0
42,cooking_html/cookingclassy-0253.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0275.html,100,100,0,100,0,0
42,cooking_html/tasty-1813.html,100,0,100,0,100,0
42,cooking_html/tasty-1849.html,100,0,100,0,100,0
42,cooking_html/allrecipes-1339.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0790.html,100,100,0,100,0,0
42,cooking_html/cookingclassy-0759.html,100,100,100,100,100,100
42,cooking_html/tasty-1850.html,100,0,100,0,100,0
42,cooking_html/allrecipes-0314.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-0460.html,100,100,100,100,100,100
42,cooking_html/tasty-2229.html,100,0,100,0,100,0
42,cooking_html/nytimes-0343.html,100,100,100,100,100,100
42,cooking_html/allrecipes-0933.html,100,0,100,100,100,0
42,cooking_html/tasty-0812.html,100,0,100,100,100,0
42,cooking_html/allrecipes-1211.html,100,100,100,100,100,100
42,cooking_html/allrecipes-0835.html,100,100,100,100,100,100
42,cooking_html/tasty-1737.html,100,0,100,0,100,0
42,cooking_html/tasty-0721.html,100,0,100,0,100,0
42,cooking_html/allrecipes-0440.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1438.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0204.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-0343.html,100,100,100,100,100,100
42,cooking_html/nytimes-1837.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1099.html,100,100,100,100,100,100
42,cooking_html/tasty-0427.html,100,0,100,0,100,0
42,cooking_html/tasty-2438.html,100,0,100,0,100,0
42,cooking_html/allrecipes-0508.html,100,0,100,100,100,0
42,cooking_html/allrecipes-0802.html,100,0,100,100,100,0
42,cooking_html/foodnetwork-0678.html,100,100,100,100,0,0
42,cooking_html/foodnetwork-1781.html,100,100,100,100,100,100
42,cooking_html/tasty-0979.html,100,0,0,0,100,0
42,cooking_html/tasty-0322.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-1871.html,100,100,100,100,100,100
42,cooking_html/nytimes-1460.html,100,100,100,100,100,100
42,cooking_html/nytimes-1503.html,100,100,100,100,100,100
42,cooking_html/tasty-1093.html,100,0,100,0,100,0
42,cooking_html/cookingclassy-0072.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-1226.html,100,100,100,100,100,100
42,cooking_html/tasty-0434.html,100,0,100,0,100,0
42,cooking_html/tasty-1649.html,100,0,100,100,100,0
42,cooking_html/foodnetwork-0802.html,100,100,100,100,100,100
42,cooking_html/tasty-1102.html,100,0,100,100,100,0
42,cooking_html/tasty-0665.html,100,0,100,0,100,0
42,cooking_html/tasty-2283.html,100,0,100,0,100,0
42,cooking_html/tasty-0002.html,100,0,100,0,100,0
42,cooking_html/allrecipes-0429.html,100,0,100,100,100,0
42,cooking_html/cookingclassy-0782.html,100,0,100,100,100,0
42,cooking_html/cookingclassy-0998.html,100,100,100,100,100,100
42,cooking_html/allrecipes-0255.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-1889.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-0452.html,100,100,100,100,100,100
42,cooking_html/tasty-0792.html,100,0,100,0,100,0
42,cooking_html/allrecipes-1422.html,100,100,100,100,100,100
42,cooking_html/allrecipes-0984.html,100,100,100,100,100,100
42,cooking_html/nytimes-1836.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-1118.html,100,100,0,100,100,0
42,cooking_html/allrecipes-1627.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-1204.html,100,100,100,100,100,100
42,cooking_html/tasty-0097.html,100,0,100,0,100,0
42,cooking_html/tasty-0760.html,100,0,100,100,100,0
42,cooking_html/tasty-1920.html,100,0,100,0,100,0
42,cooking_html/nytimes-0015.html,100,100,100,100,100,100
42,cooking_html/nytimes-1943.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0538.html,100,100,100,100,100,100
42,cooking_html/allrecipes-0532.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0359.html,100,100,100,100,100,100
42,cooking_html/tasty-1125.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-1372.html,100,100,0,100,100,0
42,cooking_html/nytimes-1708.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-1991.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0304.html,100,100,100,100,0,0
42,cooking_html/tasty-0222.html,100,0,100,0,100,0
42,cooking_html/allrecipes-1420.html,100,100,100,100,100,100
42,cooking_html/tasty-1054.html,100,0,100,0,100,0
42,cooking_html/tasty-0135.html,100,0,100,0,100,0
42,cooking_html/nytimes-1105.html,100,100,100,100,100,100
42,cooking_html/nytimes-0033.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1224.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1555.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1117.html,100,100,100,100,100,100
42,cooking_html/tasty-2290.html,100,0,100,0,100,0
42,cooking_html/nytimes-0408.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1468.html,100,100,100,100,100,100
42,cooking_html/allrecipes-0834.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-1699.html,100,100,100,100,100,100
42,cooking_html/nytimes-1931.html,100,100,100,100,100,100
42,cooking_html/nytimes-0953.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-1237.html,100,100,100,100,100,100
42,cooking_html/nytimes-1542.html,100,100,100,100,100,100
42,cooking_html/tasty-0349.html,100,0,100,0,100,0
42,cooking_html/cookingclassy-0911.html,100,100,100,0,100,0
42,cooking_html/tasty-0653.html,100,0,100,0,100,0
42,cooking_html/cookingclassy-0227.html,100,100,100,100,100,100
42,cooking_html/tasty-0562.html,100,0,100,0,100,0
42,cooking_html/tasty-1510.html,100,0,100,0,100,0
42,cooking_html/tasty-1601.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-1173.html,100,100,100,100,0,0
42,cooking_html/tasty-0783.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-0324.html,100,100,100,100,0,0
42,cooking_html/cookingclassy-0136.html,100,0,100,100,100,0
42,cooking_html/nytimes-0836.html,100,100,100,100,100,100
42,cooking_html/tasty-0282.html,100,0,100,0,100,0
42,cooking_html/tasty-1773.html,100,0,100,0,100,0
42,cooking_html/tasty-0675.html,100,0,0,0,100,0
42,cooking_html/cookingclassy-0103.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0949.html,100,100,100,100,100,100
42,cooking_html/tasty-1128.html,100,0,100,0,100,0
42,cooking_html/cookingclassy-0042.html,100,100,100,100,100,100
42,cooking_html/allrecipes-0304.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0268.html,100,100,100,100,0,0
42,cooking_html/foodnetwork-0277.html,100,100,100,100,100,100
42,cooking_html/nytimes-0742.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0970.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-1048.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-0887.html,100,100,100,100,100,100
42,cooking_html/tasty-0196.html,100,0,0,100,100,0
42,cooking_html/allrecipes-0219.html,100,0,100,100,100,0
42,cooking_html/allrecipes-0090.html,100,100,100,100,100,100
42,cooking_html/allrecipes-0688.html,100,100,100,100,100,100
42,cooking_html/tasty-1979.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-1123.html,100,100,100,100,100,100
42,cooking_html/tasty-0404.html,100,0,0,0,100,0
42,cooking_html/foodnetwork-0004.html,100,100,100,100,0,0
42,cooking_html/nytimes-0068.html,100,100,100,100,100,100
42,cooking_html/tasty-1011.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-1179.html,100,100,100,100,0,0
42,cooking_html/tasty-1365.html,100,0,100,0,100,0
42,cooking_html/allrecipes-0180.html,100,100,100,100,100,100
42,cooking_html/tasty-2089.html,100,0,0,0,100,0
42,cooking_html/nytimes-0292.html,100,100,100,100,100,100
42,cooking_html/allrecipes-0954.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-1216.html,100,100,100,100,100,100
42,cooking_html/nytimes-1746.html,100,100,100,100,100,100
42,cooking_html/nytimes-2012.html,100,100,100,100,100,100
42,cooking_html/tasty-1150.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-0674.html,100,100,0,100,100,0
42,cooking_html/allrecipes-0749.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-1271.html,100,100,0,100,0,0
42,cooking_html/tasty-0256.html,100,0,100,0,100,0
42,cooking_html/allrecipes-0581.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0073.html,100,100,100,100,100,100
42,cooking_html/tasty-2101.html,100,0,100,0,100,0
42,cooking_html/tasty-0936.html,100,0,100,100,100,0
42,cooking_html/allrecipes-1514.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-0354.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0773.html,100,100,0,100,100,0
42,cooking_html/nytimes-0591.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-2131.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0498.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1155.html,100,0,100,100,100,0
42,cooking_html/cookingclassy-0172.html,100,100,100,100,100,100
42,cooking_html/tasty-2288.html,100,0,100,100,100,0
42,cooking_html/nytimes-1729.html,100,100,100,100,100,100
42,cooking_html/tasty-1171.html,100,0,100,0,100,0
42,cooking_html/tasty-0220.html,100,0,0,0,100,0
42,cooking_html/foodnetwork-1791.html,100,100,0,100,0,0
42,cooking_html/tasty-0828.html,100,0,100,100,100,0
42,cooking_html/tasty-0006.html,100,0,0,0,100,0
42,cooking_html/nytimes-0353.html,100,100,100,100,100,100
42,cooking_html/allrecipes-0907.html,100,100,100,100,100,100
42,cooking_html/tasty-0779.html,100,0,0,0,100,0
42,cooking_html/allrecipes-0159.html,100,100,100,100,100,100
42,cooking_html/tasty-0302.html,100,0,100,0,100,0
42,cooking_html/allrecipes-0996.html,100,100,100,100,100,100
42,cooking_html/nytimes-0039.html,100,100,100,100,100,100
42,cooking_html/nytimes-1564.html,100,100,100,100,100,100
42,cooking_html/tasty-1883.html,100,0,100,0,100,0
42,cooking_html/nytimes-1114.html,100,100,100,100,100,100
42,cooking_html/tasty-1970.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0563.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-1047.html,100,100,100,100,100,100
42,cooking_html/nytimes-1519.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-1028.html,100,100,0,100,100,0
42,cooking_html/foodnetwork-1314.html,100,100,0,100,0,0
42,cooking_html/allrecipes-0509.html,100,0,100,100,100,0
42,cooking_html/tasty-2216.html,100,0,100,100,100,0
42,cooking_html/tasty-1623.html,100,0,100,100,100,0
42,cooking_html/allrecipes-1144.html,100,0,100,100,100,0
42,cooking_html/tasty-0000.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-1478.html,100,100,100,100,100,100
42,cooking_html/nytimes-0882.html,100,100,100,100,100,100
42,cooking_html/tasty-2075.html,100,0,100,0,100,0
42,cooking_html/tasty-0053.html,100,0,100,0,100,0
42,cooking_html/nytimes-1340.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0537.html,100,100,0,100,100,0
42,cooking_html/foodnetwork-0556.html,100,100,100,100,100,100
42,cooking_html/nytimes-1748.html,100,100,100,100,100,100
42,cooking_html/tasty-0125.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-0138.html,100,100,0,100,100,0
42,cooking_html/tasty-1433.html,100,0,100,0,100,0
42,cooking_html/tasty-0089.html,100,0,100,0,100,0
42,cooking_html/allrecipes-0296.html,100,100,100,100,100,100
42,cooking_html/tasty-1706.html,100,0,100,0,100,0
42,cooking_html/nytimes-0722.html,100,100,100,100,100,100
42,cooking_html/nytimes-0508.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0701.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-1289.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-0789.html,100,100,100,100,100,100
42,cooking_html/tasty-0174.html,100,0,100,0,100,0
42,cooking_html/cookingclassy-1216.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-0908.html,100,100,100,100,100,100
42,cooking_html/tasty-1281.html,100,0,0,100,100,0
42,cooking_html/cookingclassy-0524.html,100,100,100,100,100,100
42,cooking_html/tasty-1988.html,100,0,100,0,100,0
42,cooking_html/allrecipes-0520.html,100,0,100,100,100,0
42,cooking_html/nytimes-1267.html,100,100,100,100,100,100
42,cooking_html/tasty-1492.html,100,0,100,0,100,0
42,cooking_html/allrecipes-1385.html,100,0,100,100,100,0
42,cooking_html/tasty-1874.html,100,0,100,0,100,0
42,cooking_html/nytimes-1175.html,100,100,100,100,100,100
42,cooking_html/nytimes-0699.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-0532.html,100,0,100,100,100,0
42,cooking_html/tasty-2031.html,100,0,100,100,100,0
42,cooking_html/nytimes-0614.html,100,100,100,100,100,100
42,cooking_html/nytimes-1782.html,100,100,100,100,100,100
42,cooking_html/tasty-2117.html,100,0,100,0,100,0
42,cooking_html/tasty-0855.html,100,0,0,0,100,0
42,cooking_html/nytimes-1980.html,100,100,100,100,100,100
42,cooking_html/tasty-0987.html,100,0,100,100,100,0
42,cooking_html/cookingclassy-0475.html,100,100,100,100,100,100
42,cooking_html/tasty-1734.html,100,0,100,0,100,0
42,cooking_html/tasty-1644.html,100,0,100,0,100,0
42,cooking_html/cookingclassy-0674.html,100,100,100,100,100,100
42,cooking_html/allrecipes-0627.html,100,100,100,100,100,100
42,cooking_html/nytimes-0778.html,100,100,100,100,100,100
42,cooking_html/tasty-2068.html,100,0,100,0,100,0
42,cooking_html/tasty-1506.html,100,0,100,0,100,0
42,cooking_html/nytimes-1847.html,100,100,100,100,100,100
42,cooking_html/tasty-1005.html,100,0,100,0,100,0
42,cooking_html/allrecipes-0839.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-1150.html,100,100,100,100,100,100
42,cooking_html/nytimes-1638.html,100,100,100,100,100,100
42,cooking_html/tasty-1902.html,100,0,100,0,100,0
42,cooking_html/allrecipes-0139.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0841.html,100,100,0,100,100,0
42,cooking_html/allrecipes-1106.html,100,100,100,100,100,100
42,cooking_html/tasty-0517.html,100,0,100,0,100,0
42,cooking_html/nytimes-0945.html,100,100,100,100,100,100
42,cooking_html/allrecipes-0160.html,100,100,100,100,100,100
42,cooking_html/nytimes-1229.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1466.html,100,100,100,100,100,100
42,cooking_html/tasty-1460.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-0386.html,100,100,100,100,100,100
42,cooking_html/tasty-1792.html,100,0,100,0,100,0
42,cooking_html/cookingclassy-0464.html,100,100,100,100,100,100
42,cooking_html/nytimes-0617.html,100,100,100,100,100,100
42,cooking_html/tasty-0615.html,100,0,100,0,100,0
42,cooking_html/allrecipes-0895.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0744.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1419.html,100,100,100,100,100,100
42,cooking_html/tasty-1556.html,100,0,100,0,100,0
42,cooking_html/tasty-0897.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-0360.html,100,100,100,100,100,100
42,cooking_html/tasty-0012.html,100,0,100,0,100,0
42,cooking_html/nytimes-0327.html,100,100,100,100,100,100
42,cooking_html/allrecipes-0437.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-0063.html,100,100,100,100,100,100
42,cooking_html/tasty-2033.html,100,0,100,0,100,0
42,cooking_html/tasty-2323.html,100,100,100,0,100,0
42,cooking_html/nytimes-0743.html,100,100,100,100,100,100
42,cooking_html/tasty-1291.html,100,0,100,0,100,0
42,cooking_html/tasty-0842.html,100,0,100,0,100,0
42,cooking_html/nytimes-0338.html,100,100,100,100,100,100
42,cooking_html/tasty-1338.html,100,0,100,0,100,0
42,cooking_html/tasty-0086.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-0213.html,100,100,100,100,100,100
42,cooking_html/tasty-0566.html,100,0,100,0,100,0
42,cooking_html/allrecipes-1556.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0969.html,100,100,100,100,100,100
42,cooking_html/nytimes-0077.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1070.html,100,100,100,100,100,100
42,cooking_html/allrecipes-0882.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0647.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0619.html,100,100,100,100,100,100
42,cooking_html/nytimes-0115.html,100,100,100,100,100,100
42,cooking_html/tasty-0899.html,100,0,100,0,100,0
42,cooking_html/nytimes-0346.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1412.html,100,100,100,100,100,100
42,cooking_html/tasty-1532.html,100,0,0,0,100,0
42,cooking_html/allrecipes-0860.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0531.html,100,100,100,100,100,100
42,cooking_html/nytimes-1896.html,100,100,100,100,100,100
42,cooking_html/tasty-2257.html,100,0,0,0,100,0
42,cooking_html/allrecipes-0702.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1235.html,100,100,100,100,100,100
42,cooking_html/tasty-1074.html,100,0,100,0,100,0
42,cooking_html/allrecipes-0170.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1393.html,100,0,100,100,100,0
42,cooking_html/foodnetwork-1839.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1562.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-1423.html,100,100,0,100,100,0
42,cooking_html/tasty-2095.html,100,0,100,100,100,0
42,cooking_html/tasty-0572.html,100,0,100,0,100,0
42,cooking_html/tasty-0565.html,100,0,100,0,100,0
42,cooking_html/tasty-0748.html,100,0,100,0,100,0
42,cooking_html/nytimes-1942.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1071.html,100,100,100,100,100,100
42,cooking_html/nytimes-0968.html,100,100,100,100,100,100
42,cooking_html/tasty-2088.html,100,0,100,0,100,0
42,cooking_html/allrecipes-0008.html,100,0,100,100,100,0
42,cooking_html/cookingclassy-0065.html,100,100,100,100,100,100
42,cooking_html/nytimes-1949.html,100,100,100,100,100,100
42,cooking_html/tasty-0702.html,100,0,100,0,100,0
42,cooking_html/cookingclassy-0371.html,100,100,100,100,100,100
42,cooking_html/nytimes-0445.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1552.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-0416.html,100,100,100,100,100,100
42,cooking_html/allrecipes-0183.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-0137.html,100,0,100,100,100,0
42,cooking_html/nytimes-0297.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0688.html,100,100,100,100,0,0
42,cooking_html/nytimes-0652.html,100,100,100,100,100,100
42,cooking_html/tasty-1554.html,100,0,100,0,100,0
42,cooking_html/tasty-2186.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-1070.html,100,100,100,100,100,100
42,cooking_html/nytimes-0245.html,100,100,100,100,100,100
42,cooking_html/tasty-0382.html,100,0,0,100,100,0
42,cooking_html/tasty-0935.html,100,0,100,0,100,0
42,cooking_html/tasty-1630.html,100,0,100,0,100,0
42,cooking_html/tasty-0359.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-0174.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-1379.html,100,100,0,100,100,0
42,cooking_html/allrecipes-0093.html,100,100,100,100,100,100
42,cooking_html/nytimes-0923.html,100,100,100,100,100,100
42,cooking_html/tasty-0457.html,100,0,100,0,100,0
42,cooking_html/tasty-2192.html,100,0,100,0,100,0
42,cooking_html/allrecipes-0233.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-0270.html,100,0,100,100,100,0
42,cooking_html/nytimes-0191.html,100,100,100,100,100,100
42,cooking_html/tasty-1935.html,100,0,100,100,100,0
42,cooking_html/allrecipes-1254.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0244.html,100,100,0,100,100,0
42,cooking_html/cookingclassy-0023.html,100,100,100,100,100,100
42,cooking_html/tasty-2327.html,100,0,100,100,100,0
42,cooking_html/nytimes-0904.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-1398.html,100,100,100,100,100,100
42,cooking_html/tasty-1442.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-0457.html,100,100,0,100,0,0
42,cooking_html/tasty-1184.html,100,0,100,0,100,0
42,cooking_html/tasty-2378.html,100,0,100,0,100,0
42,cooking_html/nytimes-1098.html,100,100,100,100,100,100
42,cooking_html/tasty-1048.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-0124.html,100,100,100,100,100,100
42,cooking_html/tasty-2231.html,100,0,100,0,100,0
42,cooking_html/nytimes-0595.html,100,100,100,100,100,100
42,cooking_html/nytimes-1743.html,100,100,100,100,100,100
42,cooking_html/nytimes-1933.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0939.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-0618.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-0797.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-0818.html,100,0,100,100,100,0
42,cooking_html/foodnetwork-0510.html,100,100,100,100,100,100
42,cooking_html/tasty-2277.html,100,0,100,0,100,0
42,cooking_html/tasty-0821.html,100,0,100,0,100,0
42,cooking_html/nytimes-0665.html,100,100,100,100,100,100
42,cooking_html/tasty-0142.html,100,0,100,0,100,0
42,cooking_html/tasty-0658.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-1333.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-1418.html,100,100,0,100,100,0
42,cooking_html/tasty-2021.html,100,100,100,0,100,0
42,cooking_html/foodnetwork-0348.html,100,100,100,100,100,100
42,cooking_html/tasty-0687.html,100,0,100,0,100,0
42,cooking_html/cookingclassy-0326.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-2104.html,100,100,100,100,100,100
42,cooking_html/nytimes-1838.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-1601.html,100,100,100,100,0,0
42,cooking_html/cookingclassy-0244.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0378.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-1394.html,100,100,0,100,100,0
42,cooking_html/tasty-1137.html,100,0,100,0,100,0
42,cooking_html/allrecipes-1123.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-0615.html,100,100,100,100,100,100
42,cooking_html/tasty-0865.html,100,0,100,0,100,0
42,cooking_html/nytimes-0037.html,100,100,100,100,100,100
42,cooking_html/nytimes-0126.html,100,100,100,100,100,100
42,cooking_html/nytimes-0980.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1394.html,100,0,100,100,100,0
42,cooking_html/tasty-1802.html,100,0,100,0,100,0
42,cooking_html/nytimes-1478.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-0956.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1039.html,100,100,100,100,0,0
42,cooking_html/foodnetwork-0146.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-1368.html,100,100,0,100,100,0
42,cooking_html/tasty-2493.html,100,0,100,0,100,0
42,cooking_html/tasty-1789.html,100,0,100,0,100,0
42,cooking_html/foodnetwork-0043.html,100,100,0,100,0,0
42,cooking_html/tasty-1837.html,100,0,100,100,100,0
42,cooking_html/foodnetwork-0945.html,100,100,100,100,100,100
42,cooking_html/nytimes-0648.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1093.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0490.html,100,100,100,100,100,100
42,cooking_html/tasty-2442.html,100,0,100,100,100,0
42,cooking_html/tasty-1500.html,100,0,100,0,100,0
42,cooking_html/nytimes-0514.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-0574.html,100,100,0,100,100,0
42,cooking_html/allrecipes-0632.html,100,0,100,100,100,0
42,cooking_html/foodnetwork-2018.html,100,100,100,100,100,100
42,cooking_html/nytimes-1457.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-2190.html,100,100,100,100,100,100
42,cooking_html/cookingclassy-0095.html,100,100,100,100,100,100
42,cooking_html/allrecipes-0592.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1467.html,100,100,100,100,100,100
42,cooking_html/allrecipes-0527.html,100,0,100,100,100,0
42,cooking_html/tasty-1215.html,100,0,100,100,100,0
42,cooking_html/nytimes-2030.html,100,100,100,100,100,100
42,cooking_html/tasty-2363.html,100,0,100,0,100,0
42,cooking_html/nytimes-1094.html,100,100,100,100,100,100
42,cooking_html/tasty-1787.html,100,0,100,100,100,0
42,cooking_html/nytimes-1767.html,100,100,100,100,100,100
42,cooking_html/foodnetwork-2261.html,100,100,100,100,0,0
42,cooking_html/foodnetwork-0315.html,100,100,100,100,0,0
42,cooking_html/nytimes-1035.html,100,100,100,100,100,100
42,cooking_html/tasty-1873.html,100,0,100,0,100,0
42,cooking_html/nytimes-1737.html,100,100,100,100,100,100
42,cooking_html/tasty-0555.html,100,0,100,0,100,0
42,cooking_html/cookingclassy-0657.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1574.html,100,100,100,100,100,100
42,cooking_html/allrecipes-1646.html,100,100,100,100,100,100
