seed,file,name_presence,rating_presence,author_presence,time_presence,type_presence,all5_presence
43,cooking_html/tasty-0679.html,100,0,100,0,100,0
43,cooking_html/foodnetwork-1384.html,100,100,0,100,100,0
43,cooking_html/cookingclassy-0861.html,100,100,100,100,100,100
43,cooking_html/nytimes-1498.html,100,100,100,100,100,100
43,cooking_html/nytimes-1010.html,100,100,100,100,100,100
43,cooking_html/tasty-0027.html,100,0,100,100,100,0
43,cooking_html/tasty-0362.html,100,0,100,0,100,0
43,cooking_html/tasty-1314.html,100,0,100,0,100,0
43,cooking_html/nytimes-1105.html,100,100,100,100,100,100
43,cooking_html/tasty-1045.html,100,0,100,0,100,0
43,cooking_html/tasty-0123.html,100,0,100,0,100,0
43,cooking_html/nytimes-1269.html,100,100,100,100,100,100
43,cooking_html/cookingclassy-0476.html,100,100,100,100,100,100
43,cooking_html/allrecipes-0228.html,100,100,100,100,100,100
43,cooking_html/nytimes-0621.html,100,100,100,100,100,100
43,cooking_html/cookingclassy-1124.html,100,100,100,100,100,100
43,cooking_html/tasty-2116.html,100,0,100,0,100,0
43,cooking_html/cookingclassy-0138.html,100,100,100,100,100,100
43,cooking_html/tasty-2099.html,100,0,100,100,100,0
43,cooking_html/cookingclassy-0333.html,100,100,100,100,100,100
43,cooking_html/nytimes-0545.html,100,100,100,100,100,100
43,cooking_html/tasty-1059.html,100,0,100,0,100,0
43,cooking_html/foodnetwork-0639.html,100,100,100,100,0,0
43,cooking_html/foodnetwork-2121.html,100,100,100,100,100,100
43,cooking_html/allrecipes-0838.html,100,100,100,100,100,100
43,cooking_html/allrecipes-1702.html,100,100,100,100,100,100
43,cooking_html/nytimes-0923.html,100,100,100,100,100,100
43,cooking_html/allrecipes-1014.html,100,100,100,100,100,100
43,cooking_html/allrecipes-0611.html,100,100,100,100,100,100
43,cooking_html/allrecipes-1574.html,100,100,100,100,100,100
43,cooking_html/cookingclassy-1116.html,100,100,100,100,100,100
43,cooking_html/foodnetwork-0648.html,100,100,0,100,100,0
43,cooking_html/tasty-1811.html,100,0,100,0,100,0
43,cooking_html/foodnetwork-0753.html,100,100,100,100,100,100
43,cooking_html/tasty-1623.html,100,0,100,100,100,0
43,cooking_html/allrecipes-0573.html,100,100,100,100,100,100
43,cooking_html/allrecipes-1682.html,100,100,100,100,100,100
43,cooking_html/tasty-1234.html,100,0,0,0,100,0
43,cooking_html/foodnetwork-0149.html,100,100,100,100,0,0
43,cooking_html/tasty-1029.html,100,0,100,0,100,0
43,cooking_html/tasty-1114.html,100,0,100,0,100,0
43,cooking_html/allrecipes-0169.html,100,100,100,100,100,100
43,cooking_html/allrecipes-1322.html,100,100,100,100,100,100
43,cooking_html/nytimes-0496.html,100,100,100,100,100,100
43,cooking_html/nytimes-1656.html,100,100,100,100,100,100
43,cooking_html/foodnetwork-0175.html,100,100,100,100,0,0
43,cooking_html/foodnetwork-1054.html,100,100,100,100,100,100
43,cooking_html/allrecipes-0945.html,100,0,100,100,100,0
43,cooking_html/nytimes-1558.html,100,100,100,100,100,100
43,cooking_html/cookingclassy-0795.html,100,0,100,100,100,0
43,cooking_html/foodnetwork-1261.html,100,100,0,100,100,0
43,cooking_html/nytimes-0459.html,100,100,100,100,100,100
43,cooking_html/tasty-0397.html,100,0,100,0,100,0
43,cooking_html/foodnetwork-0616.html,100,100,100,100,0,0
43,cooking_html/nytimes-0982.html,100,100,100,100,100,100
43,cooking_html/allrecipes-1579.html,100,100,100,100,100,100
43,cooking_html/tasty-1158.html,100,0,100,0,100,0
43,cooking_html/cookingclassy-0843.html,100,100,100,100,100,100
