seed,file,name_presence,location_presence,price_presence,rating_presence,amenities_presence,all5_presence
42,hotels_html/booking-1492.html,100,100,0,100,100,0
42,hotels_html/kayak-0097.html,100,100,0,100,100,0
42,hotels_html/hotel-0301.html,100,100,100,100,100,100
42,hotels_html/booking-1876.html,100,100,0,100,100,0
42,hotels_html/trip-1372.html,100,100,100,100,100,100
42,hotels_html/booking-1203.html,100,100,0,100,100,0
42,hotels_html/agoda-0492.html,100,100,100,100,100,100
42,hotels_html/kayak-1481.html,100,100,0,0,100,0
42,hotels_html/hotel-0990.html,100,100,100,100,100,100
42,hotels_html/hotel-2077.html,100,100,100,0,100,0
42,hotels_html/booking-1410.html,100,100,0,0,100,0
42,hotels_html/trip-1816.html,100,100,100,100,100,100
42,hotels_html/hotel-0384.html,100,100,100,0,100,0
42,hotels_html/kayak-1413.html,100,100,100,100,100,100
42,hotels_html/trip-2028.html,100,100,100,100,100,100
42,hotels_html/trip-0714.html,100,100,100,100,100,100
42,hotels_html/booking-0207.html,100,100,0,100,100,0
42,hotels_html/trip-0539.html,100,100,100,100,100,100
42,hotels_html/kayak-1492.html,100,100,0,100,100,0
42,hotels_html/kayak-0227.html,100,100,0,100,100,0
42,hotels_html/kayak-1298.html,100,100,0,100,100,0
42,hotels_html/trip-1373.html,100,100,100,100,100,100
42,hotels_html/kayak-0607.html,100,100,100,100,100,100
42,hotels_html/trip-1254.html,100,100,0,100,100,0
42,hotels_html/booking-0067.html,100,100,0,100,100,0
42,hotels_html/booking-0728.html,100,100,0,100,100,0
42,hotels_html/trip-0575.html,100,100,100,100,100,100
42,hotels_html/kayak-1650.html,100,100,0,100,100,0
42,hotels_html/trip-1095.html,100,100,100,100,100,100
42,hotels_html/booking-1316.html,100,100,0,100,100,0
42,hotels_html/kayak-1986.html,100,100,0,100,100,0
42,hotels_html/trip-1000.html,100,100,100,100,100,100
42,hotels_html/booking-1634.html,100,100,0,100,100,0
42,hotels_html/agoda-1924.html,100,100,100,100,100,100
42,hotels_html/booking-0716.html,100,100,0,100,100,0
42,hotels_html/trip-1813.html,100,100,100,100,100,100
42,hotels_html/hotel-0017.html,100,100,100,100,100,100
42,hotels_html/kayak-1827.html,100,100,0,100,100,0
42,hotels_html/agoda-0310.html,100,100,0,100,100,0
42,hotels_html/hotel-0164.html,100,100,100,100,100,100
42,hotels_html/kayak-1042.html,100,100,0,100,100,0
42,hotels_html/booking-1204.html,100,100,0,100,100,0
42,hotels_html/agoda-1940.html,100,100,100,100,100,100
42,hotels_html/hotel-1056.html,100,100,100,0,100,0
42,hotels_html/kayak-1078.html,100,100,0,100,100,0
42,hotels_html/booking-0989.html,100,100,0,100,100,0
42,hotels_html/trip-1939.html,100,100,100,100,100,100
42,hotels_html/trip-0329.html,100,100,100,100,100,100
42,hotels_html/booking-0536.html,100,100,0,100,100,0
42,hotels_html/trip-0556.html,100,100,100,100,100,100
42,hotels_html/hotel-1101.html,100,100,100,0,100,0
42,hotels_html/agoda-1821.html,100,100,0,100,100,0
42,hotels_html/hotel-1825.html,100,100,100,0,100,0
42,hotels_html/hotel-0115.html,100,100,100,0,100,0
42,hotels_html/booking-0708.html,100,100,0,100,100,0
42,hotels_html/kayak-0982.html,100,100,0,100,100,0
42,hotels_html/booking-1365.html,100,100,0,0,100,0
42,hotels_html/kayak-0868.html,100,100,0,100,0,0
42,hotels_html/kayak-1330.html,100,100,0,100,100,0
42,hotels_html/hotel-1756.html,100,100,100,0,100,0
42,hotels_html/hotel-0191.html,100,100,100,100,100,100
42,hotels_html/trip-1712.html,100,100,100,100,100,100
42,hotels_html/trip-1342.html,100,100,100,100,100,100
42,hotels_html/agoda-1793.html,100,100,0,100,100,0
42,hotels_html/trip-0428.html,100,100,100,100,100,100
