seed,file,name_presence,location_presence,price_presence,rating_presence,amenities_presence,all5_presence
44,hotels_html/hotel-1033.html,100,100,0,100,100,0
44,hotels_html/hotel-1054.html,100,100,100,0,100,0
44,hotels_html/kayak-1123.html,100,100,0,100,100,0
44,hotels_html/trip-0730.html,100,100,100,100,100,100
44,hotels_html/trip-0231.html,100,100,100,100,100,100
44,hotels_html/trip-1736.html,100,100,100,100,100,100
44,hotels_html/hotel-0651.html,100,100,100,100,100,100
44,hotels_html/booking-1257.html,100,100,0,100,100,0
44,hotels_html/kayak-1871.html,100,100,0,100,100,0
44,hotels_html/kayak-0372.html,100,100,100,100,100,100
44,hotels_html/trip-2132.html,100,100,100,100,100,100
44,hotels_html/kayak-1009.html,100,100,0,100,100,0
44,hotels_html/kayak-1539.html,100,100,0,100,100,0
44,hotels_html/agoda-0827.html,100,100,0,100,100,0
44,hotels_html/hotel-0615.html,100,100,100,0,100,0
44,hotels_html/hotel-1295.html,100,100,100,100,100,100
44,hotels_html/trip-0581.html,100,100,100,100,100,100
44,hotels_html/hotel-1314.html,100,100,100,100,100,100
44,hotels_html/hotel-0936.html,100,100,100,100,100,100
44,hotels_html/booking-1678.html,100,100,0,100,100,0
44,hotels_html/hotel-0351.html,100,100,100,100,100,100
44,hotels_html/hotel-2073.html,100,100,100,100,100,100
44,hotels_html/agoda-0309.html,100,100,0,100,100,0
44,hotels_html/kayak-0817.html,100,100,100,100,100,100
44,hotels_html/agoda-0810.html,100,100,0,100,100,0
44,hotels_html/hotel-0536.html,100,100,100,100,100,100
44,hotels_html/trip-0182.html,100,100,100,100,100,100
44,hotels_html/kayak-1866.html,100,100,0,100,100,0
44,hotels_html/kayak-0685.html,100,100,0,100,100,0
44,hotels_html/trip-0423.html,100,100,100,100,100,100
44,hotels_html/agoda-0638.html,100,100,0,100,100,0
44,hotels_html/booking-1882.html,100,100,0,100,100,0
44,hotels_html/trip-0184.html,100,100,100,100,100,100
44,hotels_html/kayak-2009.html,100,100,0,100,100,0
44,hotels_html/kayak-1060.html,100,100,0,100,100,0
44,hotels_html/kayak-1486.html,100,100,0,100,100,0
44,hotels_html/kayak-1434.html,100,100,100,100,100,100
44,hotels_html/hotel-0731.html,100,100,100,100,100,100
44,hotels_html/booking-0220.html,100,100,0,100,100,0
44,hotels_html/booking-0198.html,100,100,0,100,100,0
44,hotels_html/hotel-1593.html,100,100,100,100,100,100
44,hotels_html/booking-0592.html,100,100,0,100,100,0
44,hotels_html/hotel-1539.html,100,100,100,0,100,0
44,hotels_html/hotel-1653.html,100,100,100,100,100,100
44,hotels_html/agoda-1870.html,100,100,0,100,100,0
44,hotels_html/hotel-0071.html,100,100,100,100,100,100
44,hotels_html/kayak-1887.html,100,100,0,100,100,0
44,hotels_html/kayak-1266.html,100,100,100,100,100,100
44,hotels_html/agoda-0873.html,100,100,0,100,100,0
44,hotels_html/booking-1416.html,100,100,0,100,100,0
44,hotels_html/hotel-0404.html,100,100,100,0,100,0
44,hotels_html/trip-1887.html,100,100,100,100,100,100
44,hotels_html/hotel-1013.html,100,100,100,100,100,100
44,hotels_html/hotel-2099.html,100,100,100,100,100,100
44,hotels_html/agoda-1958.html,100,100,100,100,100,100
44,hotels_html/hotel-1288.html,100,100,100,0,100,0
44,hotels_html/trip-1631.html,100,100,100,100,100,100
44,hotels_html/trip-0863.html,100,100,100,100,100,100
44,hotels_html/agoda-1563.html,100,100,0,100,100,0
44,hotels_html/booking-1000.html,100,100,0,100,100,0
44,hotels_html/booking-1512.html,100,100,0,100,100,0
44,hotels_html/hotel-1139.html,100,100,100,100,100,100
44,hotels_html/booking-0821.html,100,100,0,100,100,0
44,hotels_html/agoda-1240.html,100,100,0,100,100,0
44,hotels_html/booking-1640.html,100,100,0,100,100,0
44,hotels_html/agoda-1162.html,100,100,0,100,100,0
44,hotels_html/trip-1375.html,100,100,100,100,100,100
44,hotels_html/agoda-1842.html,100,100,0,100,100,0
44,hotels_html/hotel-0450.html,100,100,100,100,100,100
44,hotels_html/agoda-1893.html,100,100,0,100,100,0
44,hotels_html/kayak-0076.html,100,100,0,100,100,0
44,hotels_html/trip-0749.html,100,100,100,100,100,100
44,hotels_html/booking-0635.html,100,100,0,100,100,0
44,hotels_html/booking-0414.html,100,100,0,100,100,0
